Min Plate Aspect Ratio	Max Plate Aspect Ratio	Min Char Aspect Ratio	Max Char Aspect Ratio	Time running	Best Time	Worst Time	Total pictures	Total tracks	Correct Images	Correct tracks
3	7.5	0	0.9	591.4831443	0.153589487	0.471857071	1080	36	0.326851852	0.75
4	9	0	0.9	592.5716038	0.152592421	0.470740795	1080	36	0.326851852	0.75
4	9.5	0	0.9	593.6741073	0.173535824	0.511631489	1080	36	0.326851852	0.75
3	8	0	0.9	593.7910924	0.156581402	0.453785658	1080	36	0.326851852	0.75
3.5	8.5	0	0.9	593.8138101	0.160570145	0.475727558	1080	36	0.326851852	0.75
3	8.5	0	0.9	593.9694159	0.15757823	0.474729776	1080	36	0.326851852	0.75
3.5	9	0	0.9	595.6848452	0.169545412	0.514624119	1080	36	0.326851852	0.75
3	9	0	0.9	596.7093661	0.161567211	0.484706402	1080	36	0.326851852	0.75
3.5	9.5	0	0.9	597.5479217	0.168548584	0.512628794	1080	36	0.326851852	0.75
3	9.5	0	0.9	600.0414627	0.151594162	0.519610167	1080	36	0.326851852	0.75
4.5	10	0	0.9	589.6900992	0.16156745	0.52111268	1080	36	0.325925926	0.75
2.5	7.5	0	0.9	592.7325745	0.160571098	0.478719711	1080	36	0.325925926	0.75
2.5	7	0	0.9	592.8533165	0.161568165	0.453293324	1080	36	0.325925926	0.75
2	7	0	0.9	596.051918	0.162564754	0.481725216	1080	36	0.325925926	0.75
2.5	8	0	0.9	597.0570314	0.150596857	0.477722406	1080	36	0.325925926	0.75
2.5	8.5	0	0.9	597.1773031	0.157577991	0.478728056	1080	36	0.325925926	0.75
4	10	0	0.9	597.3112967	0.150597334	0.508638859	1080	36	0.325925926	0.75
2	8	0	0.9	598.1480405	0.155091047	0.468745947	1080	36	0.325925926	0.75
2	7.5	0	0.9	598.2540162	0.161567926	0.501167536	1080	36	0.325925926	0.75
3.5	10	0	0.9	599.0010774	0.161567688	0.560501337	1080	36	0.325925926	0.75
2.5	9.5	0	0.9	599.8539395	0.164559841	0.589930058	1080	36	0.325925926	0.75
2.5	9	0	0.9	599.9097981	0.149600029	0.464757442	1080	36	0.325925926	0.75
2	9	0	0.9	599.937921	0.15658164	0.454783201	1080	36	0.325925926	0.75
2	8.5	0	0.9	600.337774	0.149599791	0.504650831	1080	36	0.325925926	0.75
3	10	0	0.9	601.1737497	0.161568165	0.53955698	1080	36	0.325925926	0.75
2	9.5	0	0.9	602.2348948	0.153589725	0.505647421	1080	36	0.325925926	0.75
4.5	7	0.2	0.8	249.2216599	0.086776733	0.209371805	1080	36	0.325	0.75
4.5	7.5	0.2	0.8	249.4465737	0.09375	0.196474791	1080	36	0.325	0.75
3.5	7.5	0.2	0.8	249.651005	0.092259645	0.196273088	1080	36	0.325	0.75
3	7	0.2	0.8	250.0731168	0.090434074	0.211784124	1080	36	0.325	0.75
4.5	9	0.2	0.8	250.2569695	0.085770607	0.195477486	1080	36	0.325	0.75
4.5	8	0.2	0.8	250.4724801	0.083776712	0.219422579	1080	36	0.325	0.75
3.5	8	0.2	0.8	250.6448526	0.088765621	0.211449146	1080	36	0.325	0.75
3.5	7	0.2	0.8	250.820132	0.088765383	0.231701374	1080	36	0.325	0.75
3.5	9	0.2	0.8	250.8716896	0.091762304	0.198474407	1080	36	0.325	0.75
3	7.5	0.2	0.8	250.9026458	0.094783545	0.181060553	1080	36	0.325	0.75
4	7.5	0.2	0.8	250.9070592	0.096796513	0.205450058	1080	36	0.325	0.75
4	8	0.2	0.8	250.9233768	0.093752861	0.199478626	1080	36	0.325	0.75
4	8.5	0.2	0.8	250.9442201	0.090815783	0.204453945	1080	36	0.325	0.75
4	7	0.2	0.8	250.9643426	0.084803343	0.185509443	1080	36	0.325	0.75
4.5	10	0.2	0.8	250.971899	0.08876276	0.201468229	1080	36	0.325	0.75
4.5	9.5	0.2	0.8	251.0245497	0.091760397	0.21442914	1080	36	0.325	0.75
3.5	8.5	0.2	0.8	251.2607348	0.092763901	0.185506582	1080	36	0.325	0.75
4	9.5	0.2	0.8	251.3705196	0.089761257	0.22540617	1080	36	0.325	0.75
3	8	0.2	0.8	251.4692998	0.083784819	0.209463596	1080	36	0.325	0.75
4.5	8.5	0.2	0.8	251.6067281	0.095746279	0.211711168	1080	36	0.325	0.75
3	8.5	0.2	0.8	251.6802404	0.094761372	0.206422329	1080	36	0.325	0.75
3	9	0.2	0.8	251.8114831	0.094750404	0.200627327	1080	36	0.325	0.75
3.5	9.5	0.2	0.8	251.9244702	0.100746393	0.199483871	1080	36	0.325	0.75
4	9	0.2	0.8	251.9622169	0.091754913	0.177525759	1080	36	0.325	0.75
4	10	0.2	0.8	252.1932158	0.094749451	0.222409964	1080	36	0.325	0.75
3.5	10	0.2	0.8	253.1314876	0.094268322	0.243375301	1080	36	0.325	0.75
